category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Tiramisu","ik","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Frutto della Passione","ik","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Gelato Italiano Caramel","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Gelato Italiano Gianduia","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Gelato Italiano Mou","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Gelato Italiano Cioccolato","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Gelato Italiano Cappuccino","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Gelato Italiano Pannacotta","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Gelato Italiano Menta","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Gelato Italiano Nocciole","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kuleis","Gelato Italiano Pistachio","m","-","-"

"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:milkshake og softis","Softis","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:milkshake og softis","Milk Shake","m","-","-"

"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kjeks","Krumkaker maxi","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kjeks","Krumkaker store (10940)","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kjeks","Krumkaker små (10941)","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kjeks","Krumkaker Tivoli (10643)","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kjeks","Softiskjeks","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:kjeks","Stjerne vaffelskål","m","-","-"

"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:iskakestykker, håndpyntede iskaker, isbrød og iskakebunner","Mini Daim","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:iskakestykker, håndpyntede iskaker, isbrød og iskakebunner","Yoghurt-Is stykke Vanilje","m","-","-"
